year,state,DenState,MedIncome,Change,inc1,incvote
1988,ND,9.56732357142858,24092,-0.148148148148148,0,0.565953557278677
1988,NE,21.2588435714286,25159,-0.227272727272727,0,0.605540854941714
1988,NH,113.757007142857,34625,-0.395348837209302,0,0.632336327271339
1988,NJ,1030.61620357143,36287,-0.338983050847458,0,0.569011576135352
1988,NM,12.3191785714287,19296,-0.135802469135802,0,0.525099157404854
1988,NV,13.504895,27983,-0.375,0,0.608185891645857
1988,NY,383.445412857143,28915,-0.352112676056338,0,0.479314057631763
1988,OH,262.0756,27740,-0.362637362637363,0,0.554740646502507
1988,OK,45.7003328571428,23667,-0.112676056338028,0,0.583898122724417
1988,OR,30.428432857143,27748,-0.397849462365591,0,0.47616319202402
1988,PA,267.83681,26742,-0.443181818181818,0,0.511695469953377
1988,RI,942.657552142859,29842,-0.36,0,0.441221294466894
